dish,axis,sentence,extra_article
Rouladen,Alltagsküche,alles für Rouladen,
Frikadellen,Alltagsküche,"alles für Frikadellen, und Klopapier",Klopapier
Grünkohl mit Pinkel,Alltagsküche,alles für Grünkohl mit Pinkel,
Maultaschen,Alltagsküche,alles für Maultaschen,
Semmelknödel,Alltagsküche,alles für Semmelknödel,
Königsberger Klopse,Alltagsküche,alles für Königsberger Klopse,
Sauerbraten,Alltagsküche,alles für Sauerbraten,
Rotkohl,Alltagsküche,alles für Rotkohl,
Chili con Carne,"international, im Katalog","alles für Chili con Carne, und Spülmittel",Spülmittel
Moussaka,"international, im Katalog",alles für Moussaka,
Gnocchi mit Salbeibutter,"international, im Katalog",alles für Gnocchi mit Salbeibutter,
Shakshuka,"international, im Katalog",alles für Shakshuka,
Paella,"international, im Katalog",alles für Paella,
Quiche Lorraine,"international, im Katalog",alles für Quiche Lorraine,
Tortilla Espanola,"international, im Katalog",alles für Tortilla Espanola,
Pho Bo,"international, exotisch",alles für Pho Bo,
Bibimbap,"international, exotisch",alles für Bibimbap,
Pad Thai,"international, exotisch","alles für Pad Thai, und Zahnpasta",Zahnpasta
Ramen,"international, exotisch",alles für Ramen,
Tom Kha Gai,"international, exotisch",alles für Tom Kha Gai,
Massaman Curry,"international, exotisch",alles für Massaman Curry,
Okonomiyaki,"international, exotisch",alles für Okonomiyaki,
Gemüselasagne,vegetarisch/vegan,alles für Gemüselasagne,
Kichererbsencurry,vegetarisch/vegan,alles für Kichererbsencurry,
Linsenbolognese,vegetarisch/vegan,alles für Linsenbolognese,
Falafel,vegetarisch/vegan,alles für Falafel,
Chili sin Carne,vegetarisch/vegan,"alles für Chili sin Carne, und Katzenstreu",Katzenstreu
Ofengemüse mit Feta,vegetarisch/vegan,alles für Ofengemüse mit Feta,
Apfelkuchen,Backen,alles für Apfelkuchen,
Käsekuchen,Backen,alles für Käsekuchen,
Pizzateig,Backen,alles für Pizzateig,
Waffeln,Backen,alles für Waffeln,
Zwetschgendatschi,Backen,alles für Zwetschgendatschi,
Marmorkuchen,Backen,"alles für Marmorkuchen, und Taschentücher",Taschentücher
Knoblauchsuppe,zählbare Einheiten,alles für Knoblauchsuppe,
Spargel mit Sauce Hollandaise,zählbare Einheiten,alles für Spargel mit Sauce Hollandaise,
Petersilienpesto,zählbare Einheiten,alles für Petersilienpesto,
Toast Hawaii,zählbare Einheiten,alles für Toast Hawaii,
Gefüllte Paprika,zählbare Einheiten,alles für Gefüllte Paprika,
Lauchkuchen,zählbare Einheiten,alles für Lauchkuchen,
Lasagne,Einwort-Gericht,alles für Lasagne,
Risotto,Einwort-Gericht,alles für Risotto,
Gulasch,Einwort-Gericht,alles für Gulasch,
Bratkartoffeln,Einwort-Gericht,alles für Bratkartoffeln,
Kaiserschmarrn,Einwort-Gericht,alles für Kaiserschmarrn,
Hühnerfrikassee,Einwort-Gericht,alles für Hühnerfrikassee,
Auflauf,mehrdeutig,Auflauf,
Salat,mehrdeutig,Salat,
Suppe,mehrdeutig,Suppe,
Eintopf,mehrdeutig,Eintopf,
Salat als ganzer Satz,mehrdeutig,alles für Salat,
Nudeln mit Pesto,mehrdeutig,alles für Nudeln mit Pesto,
Käse Lauch Suppe,Schreibweise/Tippfehler,alles für Käse Lauch Suppe,
Käse-Lauch-Suppe,Schreibweise/Tippfehler,alles für Käse-Lauch-Suppe,
Spagetti Bolognese,Schreibweise/Tippfehler,alles für Spagetti Bolognese,
Kartoffelpürree,Schreibweise/Tippfehler,alles für Kartoffelpürree,
Broccoliauflauf,Schreibweise/Tippfehler,alles für Broccoliauflauf,
Cordon bleu,Schreibweise/Tippfehler,"alles für Cordon bleu, und Alufolie",Alufolie
Schrumpelfrikandel,Fantasiename,alles für Schrumpelfrikandel,
Zwuckelpfanne mit Gnubbeln,Fantasiename,alles für Zwuckelpfanne mit Gnubbeln,
Glibberschmarrn,Fantasiename,"alles für Glibberschmarrn, und Klopapier",Klopapier
Ratatouille,bereits gespeichert,alles für Ratatouille,
Quesadillas,bereits gespeichert,alles für Quesadillas,
Kartoffelsalat,bereits gespeichert,"alles für Kartoffelsalat, und Spülmittel",Spülmittel
Schnitzel mit Pommes,Alltagsküche,"alles für Schnitzel mit Pommes, und Müllbeutel",Müllbeutel
Kartoffelpuffer,Alltagsküche,alles für Kartoffelpuffer,
Linsensuppe mit Würstchen,Alltagsküche,alles für Linsensuppe mit Würstchen,
Kohlrouladen,Alltagsküche,alles für Kohlrouladen,
Schweinebraten,Alltagsküche,alles für Schweinebraten,
Spinat mit Spiegelei und Kartoffeln,Alltagsküche,alles für Spinat mit Spiegelei und Kartoffeln,
Hackbraten,Alltagsküche,alles für Hackbraten,
Zwiebelkuchen,Alltagsküche,alles für Zwiebelkuchen,
Carbonara,"international, im Katalog","alles für Carbonara, und Backpapier",Backpapier
Coq au Vin,"international, im Katalog",alles für Coq au Vin,
Hähnchen Tikka Masala,"international, im Katalog",alles für Hähnchen Tikka Masala,
Pulled Pork,"international, im Katalog",alles für Pulled Pork,
Fajitas,"international, im Katalog",alles für Fajitas,
Minestrone,"international, im Katalog",alles für Minestrone,
Souvlaki,"international, im Katalog",alles für Souvlaki,
Laksa,"international, exotisch",alles für Laksa,
Rendang,"international, exotisch",alles für Rendang,
Butter Chicken,"international, exotisch","alles für Butter Chicken, und Küchenrolle",Küchenrolle
Gyoza,"international, exotisch",alles für Gyoza,
Kimchi Jjigae,"international, exotisch",alles für Kimchi Jjigae,
