run,model,dish,path,terms,catalog_hits,free_text,hit_rate,rejected,seconds,error,source_recipe,phoenix_project,measured_at
2026-08-31-mtp,Qwen3.8-27B-Instruct,Rouladen,chefkoch,11,11,0,1.000,0,16.6,,Rinderrouladen klassisch,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Frikadellen,chefkoch,13,8,5,0.615,0,17.4,,Omas beste Frikadellen,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Grünkohl mit Pinkel,chefkoch,10,7,3,0.700,0,13.6,,Grünkohl mit Pinkel nach Ammerländer Art,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Maultaschen,chefkoch,5,5,0,1.000,0,7.1,,Überbackene Maultaschen,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Semmelknödel,chefkoch,6,6,0,1.000,0,10.1,,Serviettenknödel,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Königsberger Klopse,chefkoch,14,11,3,0.786,0,18.1,,Königsberger Klopse,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Sauerbraten,chefkoch,7,4,3,0.571,0,6.0,,Rindsschmorbraten mit Essig und Rahm,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Rotkohl,chefkoch,7,6,1,0.857,0,12.6,,"Blaukraut oder Rotkohl, klassisch",,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Chili con Carne,chefkoch,11,8,3,0.727,0,10.9,,Chili con Carne à la Benjo,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Moussaka,chefkoch,12,12,0,1.000,0,17.3,,Moussaka,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Gnocchi mit Salbeibutter,chefkoch,6,6,0,1.000,0,9.8,,Selbstgemachte Gnocchi in Salbei-Butter,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Shakshuka,chefkoch,6,6,0,1.000,0,8.9,,Shakshuka,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Paella,chefkoch,12,8,4,0.667,0,0.1,,Paella mit Meeresfrüchten,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Quiche Lorraine,chefkoch,6,6,0,1.000,0,9.2,,Majas Quiche Lorraine in verschiedenen Variationen,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Tortilla Espanola,chefkoch,2,2,0,1.000,0,4.3,,Tortilla Espanola,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Pho Bo,chefkoch,19,11,7,0.579,0,22.2,,Pho Bo - Vietnamesische Rindfleischsuppe,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Bibimbap,chefkoch,8,7,1,0.875,0,9.4,,Bibimbap nach Art des Hauses,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Pad Thai,chefkoch,10,6,4,0.600,0,16.0,,Pad Thai,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Ramen,chefkoch,15,11,4,0.733,0,17.9,,Ramen – Japanische Nudelsuppe mit Hühnerbrühe und Schweinefilet,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Tom Kha Gai,chefkoch,13,8,5,0.615,0,20.1,,Tom Kha Gai - die berühmte Hühnersuppe mit Kokosmilch und Galgant,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Massaman Curry,chefkoch,11,10,1,0.909,0,21.4,,Annas Massaman-Curry,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Okonomiyaki,chefkoch,6,4,2,0.667,0,12.5,,Okonomiyaki Osaka-Style,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Gemüselasagne,chefkoch,13,13,0,1.000,0,17.0,,Vegetarische Spinat-Gemüse-Lasagne mit Tomatensoße,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Kichererbsencurry,chefkoch,6,5,1,0.833,0,7.6,,Kichererbsen-Curry Chana Masala,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Linsenbolognese,chefkoch,9,8,1,0.889,0,11.4,,Rote Linsen-Bolognese,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Falafel,chefkoch,8,7,1,0.875,0,13.2,,Hummus bi Tahina,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Chili sin Carne,chefkoch,14,11,3,0.786,0,15.4,,"Vegetarisch-veganes Chili sin Carne ""SuperNova""",,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Ofengemüse mit Feta,chefkoch,7,7,0,1.000,0,16.2,,Mediterranes Ofengemüse,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Apfelkuchen,chefkoch,6,6,0,1.000,0,8.4,,Apfelkuchen mit Streuseln,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Käsekuchen,chefkoch,10,9,1,0.900,0,15.0,,Russischer Zupfkuchen,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Pizzateig,chefkoch,6,5,1,0.833,0,11.7,,Knusprig dünne Pizza mit Chorizo und Mozzarella,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Waffeln,chefkoch,7,7,0,1.000,0,8.0,,Geheimes Waffelrezept,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Zwetschgendatschi,chefkoch,5,4,1,0.800,0,7.9,,Zwetschgendatschi mit Butterstreuseln,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Marmorkuchen,chefkoch,10,10,0,1.000,0,11.2,,Marmor-Gugelhupf,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Knoblauchsuppe,chefkoch,8,6,2,0.750,0,8.7,,Knoblauchsuppe mit Parmesan,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Spargel mit Sauce Hollandaise,chefkoch,12,9,3,0.750,0,13.5,,"Spargel mit Sauce Hollandaise, gebratenem Schweinefilet und Kartoffelgratin",,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Petersilienpesto,chefkoch,6,5,1,0.833,0,7.7,,Petersilien-Pesto,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Toast Hawaii,chefkoch,5,5,0,1.000,0,9.9,,Hawaii Toast,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Gefüllte Paprika,chefkoch,9,9,0,1.000,0,12.5,,Gefüllte Paprika nach Uroma Susanne,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Lauchkuchen,chefkoch,5,5,0,1.000,0,10.5,,Lauchkuchen vom Blech,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Lasagne,chefkoch,13,13,0,1.000,0,18.3,,Vegetarische Spinat-Gemüse-Lasagne mit Tomatensoße,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Risotto,chefkoch,7,4,3,0.571,0,11.6,,Risotto alla milanese,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Gulasch,chefkoch,14,7,7,0.500,0,18.3,,Hirschgulasch,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Bratkartoffeln,chefkoch,2,2,0,1.000,0,3.4,,Knusprige Bratkartoffeln nach Muttis Rezept,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Kaiserschmarrn,chefkoch,8,8,0,1.000,0,7.8,,Kaiserschmarrn - Tiroler Landgasthofrezept,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Hühnerfrikassee,chefkoch,11,9,2,0.818,0,16.9,,Hühnerfrikassee,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Auflauf,chefkoch,10,8,2,0.800,0,11.4,,Gyros-Nudelauflauf in Metaxasoße,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Salat,chefkoch,9,8,1,0.889,0,9.8,,KFC Coleslaw,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Suppe,chefkoch,11,9,2,0.818,0,16.3,,Erbseneintopf nach Bundeswehrrezept,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Eintopf,chefkoch,11,9,2,0.818,0,19.2,,Erbseneintopf nach Bundeswehrrezept,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Salat als ganzer Satz,chefkoch,9,8,1,0.889,0,12.4,,KFC Coleslaw,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Nudeln mit Pesto,chefkoch,7,5,2,0.714,0,11.9,,Spaghetti mit Tomaten-Pesto,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Käse Lauch Suppe,chefkoch,6,6,0,1.000,0,12.4,,Käse-Lauch-Suppe mit Hackfleisch,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Käse-Lauch-Suppe,chefkoch,6,6,0,1.000,0,10.1,,Käse-Lauch-Suppe mit Hackfleisch,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Spagetti Bolognese,chefkoch,11,10,1,0.909,0,12.5,,Die echte Sauce Bolognese,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Kartoffelpürree,chefkoch,10,9,1,0.900,0,14.8,,Schweinefilet auf Süßkartoffelpüree mit Lebkuchenjus und Rosenkohl,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Broccoliauflauf,chefkoch,5,5,0,1.000,0,4.9,,Brokkoliauflauf,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Cordon bleu,chefkoch,7,7,0,1.000,0,14.0,,Cordon bleu - das Original aus der Schweiz,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Schrumpelfrikandel,llm,1,0,1,0.000,0,1.8,,,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Zwuckelpfanne mit Gnubbeln,llm,5,4,1,0.800,0,12.1,,,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Glibberschmarrn,llm,1,1,0,1.000,0,3.3,,,,2026-08-31T17:01:01
2026-08-31-mtp,Qwen3.8-27B-Instruct,Ratatouille,recipe,0,10,1,,0,17.0,,,,2026-08-31T17:01:01
